,Year,Month,Actual Balance,Difference_l
0,2000,1,19855924.28,0.0
1,2000,2,10562138.466666667,484701.0666666666
2,2000,3,14995180.63,436750.8833333335
3,2000,4,15782528.040740741,533205.674074074
4,2000,5,15887307.358148148,290251.65074074076
5,2000,6,17265004.73049383,357615.53012345673
6,2000,7,17091132.99983539,144423.2297119342
7,2000,8,18689897.22794239,156511.31329218106
8,2000,9,17145676.81138546,-25381.487544581687
9,2000,10,16284290.634636488,-636298.2145404663
10,2000,11,16107879.46866941,3961.8983676268545
11,2000,12,16421133.341175126,8973.819227251925
12,2001,1,14381744.86608139,-39752.119414723384
13,2001,2,14127698.84,-25106.744531321405
14,2001,3,18122760.937777776,129989.75209876541
15,2001,4,16941580.992222223,-9327.645555555577
16,2001,5,19146803.705925927,-5356.365925925846
17,2001,6,15107430.586666666,-1468630.474197531
18,2001,7,16718714.47962963,-61279.56629629625
19,2001,8,13858120.383333333,-74103.06666666674
20,2001,9,16372062.31,-218453.7029629629
21,2001,10,16566411.39,-79390.92000000003
22,2001,11,16705870.873333333,-29260.153333333306
23,2001,12,13640086.126666667,-36450.97666666668
24,2002,1,16079184.620000001,-54558.90666666666
25,2002,2,14388320.120000001,-137517.89999999997
26,2002,3,14600536.21,-494334.7966666667
27,2002,4,15754748.46,-20330.52999999997
28,2002,5,13388660.67,-24315.090000000033
29,2002,6,13412906.69,-400495.68
30,2002,7,15804157.67,-42065.62
31,2002,8,11126233.47,-274094.2666666666
32,2002,9,14066405.25,-13191.63
33,2002,10,14011593.5,-21449.240000000013
34,2002,11,12826534.97,-199807.72999999998
35,2002,12,11358310.94,-2437012.73
36,2003,1,9392743.34,-122856.96
37,2003,2,11544834.24,-15959.540000000019
38,2003,3,11082688.65,-20230.689999999988
39,2003,4,8435099.963333333,-7859.786666666653
40,2003,5,10502900.65,-158704.4133333333
41,2003,6,10483019.446666667,-143659.50333333344
42,2003,7,10709102.53,-75809.78333333333
43,2003,8,9648239.633333333,-181019.1666666667
44,2003,9,8811739.166666666,-184145.73333333334
45,2003,10,8845690.6,-411200.26666666666
46,2003,11,8056279.2,-370798.7
47,2003,12,8771708.5,-287241.0
48,2004,1,8138428.9,-41700.8
49,2004,2,8079642.1,-14563.200000000004
50,2004,3,8824763.6,-24108.833333333343
51,2004,4,8200439.8,-136465.46666666662
52,2004,5,8622454.666666666,-165320.80000000002
53,2004,6,6382875.933333334,-15709.533333333316
54,2004,7,8385262.066666666,-45002.16666666667
55,2004,8,7729376.443333333,-265002.32333333336
56,2004,9,7253741.59,-70354.38333333333
57,2004,10,7563328.34,-223184.51
58,2004,11,7681283.34,-8769.240000000005
59,2004,12,6388884.8,-260988.2
60,2005,1,7120997.9,121213.6
61,2005,2,6168087.2,-10658.999999999993
62,2005,3,5762346.3,-913844.3999999999
63,2005,4,5245077.8,17894.400000000005
64,2005,5,6248194.77,3919.2300000000087
65,2005,6,5886952.8,-589627.5
66,2005,7,4311365.3,-97059.2
67,2005,8,5338669.7,-106827.90000000001
68,2005,9,3355732.1,-4785.799999999996
69,2005,10,5035463.2,-5924.8999999999905
70,2005,11,5298297.4,-5206.340000000006
71,2005,12,5110310.6,-167445.80000000002
72,2006,1,4196520.066666666,-726637.5333333333
73,2006,2,4198527.133333333,-173865.93333333335
74,2006,3,4067522.0,-2506.1333333333278
75,2006,4,4235637.3,-8637.699999999999
76,2006,5,3658828.49,5010.023333333311
77,2006,6,3951487.85,-256116.63999999998
78,2006,7,3896582.65,2185.336666666659
79,2006,8,2980471.35,-1151240.8
80,2006,9,2887533.33,2530.480000000007
81,2006,10,2185280.09,1152.260000000002
82,2006,11,2790249.64,664.4500000000003
83,2006,12,2829108.4699999997,6550.840000000007
84,2007,1,2792624.4,-5168.980000000024
85,2007,2,2777806.2,-154203.19999999998
86,2007,3,2733058.2,-420.799999999992
87,2007,4,2822036.3,214.09999999999127
88,2007,5,2748302.2,1213.5000000000036
89,2007,6,2404331.4,-268738.8
90,2007,7,2425918.7,460.50000000001455
91,2007,8,2414707.9,-1043.8000000000065
92,2007,9,2405126.9,659.9999999999964
93,2007,10,2392459.7,-2354.1999999999935
94,2007,11,2325694.7,-515.7000000000007
95,2007,12,2365231.6,-8392.400000000005
96,2008,1,2306547.4,-625.5000000000036
97,2008,2,1623493.0,233.9000000000051
98,2008,3,1584897.2,-751857.8
99,2008,4,1575423.8,-397.3999999999942
100,2008,5,1565621.6,-661.2000000000044
101,2008,6,1633163.4,-94158.79999999999
102,2008,7,1491944.6,-422.20000000000437
103,2008,8,1484123.6600000001,-3824.8099999999995
104,2008,9,1474547.9,-54362.2
105,2008,10,1465785.48,3117.2199999999993
106,2008,11,1433884.24,2133.96
107,2008,12,1450086.5,-553.7000000000007
108,2009,1,1440983.35,1482.6099999999985
109,2009,2,1428353.6,-3538.999999999998
110,2009,3,1418161.8,-34757.0
111,2009,4,1399106.0,898.25
112,2009,5,1397869.3900000001,-3846.409999999999
113,2009,6,3047330.7233333336,9083.076666666662
114,2009,7,1377147.6666666667,2449.2033333333525
115,2009,8,1370413.0,-249.66666666667152
116,2009,9,2414994.0,-1301.3333333333721
117,2009,10,303466.0,-188.0
118,2009,11,1348000.0,-860.6666666666279
119,2009,12,559750.0,-387.0
120,2010,1,557215.0,-163.0
121,2010,2,554868.0,45.0
122,2010,3,551969.0,-489.0
123,2010,4,1334579.0,3819.0
124,2010,5,1330968.0,3149.0
125,2010,6,544058.0,-161.0
126,2010,7,424236.0,-223.0
127,2010,8,539502.0,15.0
128,2010,9,1204458.0,-775754.0
129,2010,10,535185.0,249.0
130,2010,11,531234.0,-1392.0
131,2010,12,527981.6666666667,-675.3333333333285
132,2011,1,546548.0,-131069.33333333334
133,2011,2,522750.3333333333,-546.333333333343
134,2011,3,1111037.0,597692.6666666666
135,2011,4,355987.0,-160827.0
136,2011,5,354118.0,-449.0
137,2011,6,352089.0,-600.0
138,2011,7,350217.0,-431.0
139,2011,8,348350.0,-414.0
140,2011,9,346501.0,-385.0
141,2011,10,344706.0,-317.0
142,2011,11,342767.0,-450.0
143,2011,12,341045.0,-221.0
144,2012,1,924489.0,-2216.0
145,2012,2,337372.0,-364.0
146,2012,3,335461.0,-372410.0
147,2012,4,333968.0,57.0
148,2012,5,332039.0,-365.0
149,2012,6,330197.0,-267.0
150,2012,7,229459.0,-581032.0
151,2012,8,228403.0,-221.0
152,2012,9,326915.7,428.6999999999971
153,2012,10,324188.4,-1112.300000000003
154,2012,11,225205.0,-215.0
155,2012,12,320852.8,-628.5999999999913
156,2013,1,317971.6,-1232.199999999997
157,2013,2,316039.0,-270.6000000000058
158,2013,3,312655.0,-1708.0
159,2013,4,310718.2,-246.8000000000029
160,2013,5,309489.0,473.8000000000029
161,2013,6,217570.0,-199.0
162,2013,7,216459.0,-196.0
163,2013,8,305481.6,-58.39999999999418
164,2013,9,303306.4,-429.20000000001164
165,2013,10,213096.0,-188.0
166,2013,11,299066.0,-1346.3999999999942
167,2013,12,296267.2,-1015.8000000000029
168,2014,1,292918.1,-1551.0999999999913
169,2014,2,208539.0,-178.0
170,2014,3,288100.6,-1851.5
171,2014,4,206230.0,-172.0
172,2014,5,283883.9,-1215.7000000000116
173,2014,6,203899.0,-166.0
174,2014,7,280838.7,-11.19999999999709
175,2014,8,278128.0,-829.6999999999971
176,2014,9,275802.4,-428.6000000000058
177,2014,10,273729.6,-159.79999999998836
178,2014,11,271574.8,-227.8000000000029
179,2014,12,269456.0,-173.8000000000029
180,2015,1,195571.0,-145.0
181,2015,2,266324.3,42.30000000000291
182,2015,3,193142.0,-71198.3
183,2015,4,191919.0,-134.0
184,2015,5,190691.0,-130.0
185,2015,6,189457.0,-128.0
186,2015,7,188217.0,-123.0
187,2015,8,186972.0,-120.0
188,2015,9,185721.0,-116.0
189,2015,10,184464.0,-113.0
190,2015,11,183201.0,-109.0
191,2015,12,181933.0,-105.0
192,2016,1,180659.0,-100.0
193,2016,2,179378.0,-99.0
194,2016,3,178091.0,-95.0
195,2016,4,176797.0,-91.0
196,2016,5,175498.0,-86.0
197,2016,6,174192.0,-84.0
198,2016,7,172880.0,-79.0
199,2016,8,171562.0,-74.0
200,2016,9,170237.0,-72.0
201,2016,10,168906.0,-66.0
202,2016,11,167569.0,-63.0
203,2016,12,166225.0,-59.0
204,2017,1,164875.0,-54.0
205,2017,2,163533.0,-36.0
206,2017,3,162184.0,-31.0
207,2017,4,160828.0,-27.0
208,2017,5,159479.0,-10.0
209,2017,6,158124.0,-4.0
210,2017,7,156761.0,0.0
211,2017,8,155405.0,17.0
212,2017,9,154041.0,20.0
213,2017,10,152670.0,26.0
214,2017,11,151292.0,30.0
215,2017,12,149906.0,33.0
216,2018,1,148513.0,39.0
217,2018,2,147125.0,56.0
218,2018,3,145729.0,59.0
219,2018,4,144326.0,65.0
220,2018,5,142927.0,80.0
221,2018,6,141519.0,85.0
222,2018,7,140104.0,89.0
223,2018,8,138693.0,107.0
224,2018,9,137273.0,109.0
225,2018,10,135844.0,114.0
226,2018,11,134419.0,131.0
227,2018,12,132985.0,134.0
228,2019,1,131541.0,137.0
229,2019,2,130101.0,155.0
230,2019,3,128651.0,158.0
231,2019,4,127191.0,162.0
232,2019,5,125722.0,165.0
233,2019,6,124244.0,171.0
234,2019,7,122756.0,174.0
235,2019,8,121258.0,178.0
236,2019,9,119751.0,184.0
237,2019,10,118234.0,187.0
238,2019,11,116687.0,171.0
239,2019,12,115129.0,174.0
240,2020,1,113563.0,182.0
241,2020,2,0.0,-111802.0
