"GENERALLEDGERCD","DESCRIPTION","CREATUSERID","CREATDT"
"5110","BANK SERVICE CHARGES ON LOANS","",""
"5112","BANK SERV CHG LNS GNMA/FALT","",""
"5113","BANK SERV CHG LNS GNMA/FAFT","",""
"5120","MISC LENDING EXPENSES","",""
"5121","COLLECTION AGENCY FEES","",""
"5126","SEC 8(A) PROGRAM EXPENSES","",""
"5127","CONTRACT COSTS","",""
"5128","LOSSES ON ADV PAYS TO SUBCONTR","",""
"5129","BUSINESS DEVELOP EXP","",""
"5130","EXPENSES INCURRED ASSETS ACQ","",""
"5133","EXP INC ON EXC PROPERTY","",""
"5139","EXC SUB RTN TREAS BY FINAN FND","",""
"5140","LOSSES DISPOSITION ASSETS ACQ","",""
"5145","LOSSES ON NON-BANK LENDER TRN","",""
"5146","LOSS ON DISP OF SBIC PREFRD STCK","",""
"5148","PREPAID DISCOUNT-DISASTER HOME LOAN","",""
"5150","PART CERTIFICATES SALES COST","",""
"5152","EXPENSES ON SALE OF LOANS FFB","",""
"5155","PREMIUM ON PAYOFF   503 DEBEN","",""
"5161","PROV LOSS LOANS & DEB REC","",""
"5164","LOSSES ON GUARANTY FEES","",""
"5165","LOSSES ON MISC RECEIVABLES","",""
"5167","PRV UNCOL ACCR INT P","",""
"5170","LOSS ON SALE OF LOAN","",""
"5210","ADMINISTRATIVE EXPENSES","",""
"5211","EXPENSE FOR COST OF CREDIT REPORTS","",""
"6000","LOAN APPROVALS SBA SHARE","",""
"6002","LOAN APPROVALS GROSS","",""
"6003","LOAN APPROVALS BKS SHARE","",""
"6004","OVERFLOW #1 FROM ACCOUNT 6000","",""
"6005","OVERFLOW #1 FROM ACCOUNT 6002","",""
"6020","ADVICES OF ALLOTMENTS ISSUED","",""
"6021","UNCOMMITTED ALLOTMENTS","",""
"6022","COMMITMENTS MADE ALLOT PERIOD","",""
"6023","BDE DISBURSEMENTS","",""
"6030","GUARANTY LOANS - SBA COMMITMENTS","",""
"6031","GUARANTY LOANS GROSS","",""
"6032","GUARANTY LOANS BKS SHARE","",""
"6034","SBIC PARTICIPATING SECURITIES GROSS GUAR","",""
"6036","SBIC GUARANTY PRINCIPLE (PRIVATE SECT)","",""
"6037","DEB GUAR (303) SBA SERV","",""
"6039","OverFlow # 2 from Account 6039","",""
"6043","PROV DEB GUAR 302 SOLD SBA SVD","",""
"6044","PROV SBIC LN GUAR SOLD SBA SVD","",""
"6050","COURT COSTS CHARGED OFF","",""
"6051","INT PURCH CHARGED OFF ! GROSS","",""
"6052","INT PURCH CHARGED OFF BK SHARE","",""
"6053","INTEREST OUT CHG OFF GROSS","",""
"6054","INTEREST OUT CHG OFF BK SHARE","",""
"6055","INT ACCR LNS CHG OFF SBA SHARE","",""
"6056","Repairs/Disallowed Purchased Interest - Charged Off","",""
"6057","PRINCIPAL OUT CHG OFF GROSS","",""
"6058","PRINCIPAL OUT CHG OFF BK SHARE","",""
"6059","CONTRA ACCT LOANS CHARGED OFF","",""
"6067","BOOK VALUE - GROSS","",""
"6068","BOOK VALUE - BANK SHARE","",""
"6069","BOOK VALUE","",""
"6080","RECLASSIFIED LOAN APPROVALS","",""
"6081","RECLASS APPR OBL SBA SVD GROSS","",""
"6082","RECLASS APPR OBL SBA SVD BK SH","",""
"6083","RECLASS APPR OBL BK SVD GROSS","",""
"6084","RECLASS APPR OBL BK SVD BKS SH","",""
"6100","LEASE RENT GUARANTEED GRS AMT","",""
"6101","LEASE RENT GUARANTEED SBA SHR","",""
"6102","LEASE RENT GUARANTEED SBAPART","",""
"6103","LEASE RENT GUARANTEED INS CO.","",""
"6104","DEFAULTED LEASE  DIRECT","",""
"6105","DEFAULTED LEASE  SBAPART","",""
"6106","DEFAULTED LEASE/LOAN  INS CO.","",""
"6130","CUM LOSS DISP OF SBIC PREF STK CONTRA","",""
"6131","CUM LOSS DISP OF SBIC PREFRD STCK","",""
"6132","CUM LOSS SBIC PR ST INT","",""
"6154","APPORTIONMENT OF SBIC GTY AUTH","",""
"6155","UNALLOT APPORT- SBIC AUTHORITY","",""
"6156","UNCOMMITTED APPORTIONMNT- SBIC","",""
"6157","SBIC COMMITMENTS INCURRED","",""
"6200","SBIC GUAR DEB/LOANS!CONTRA","",""
"6201","SBIC GUAR DEB/LOANS!INT","",""
"6300","CURR PROV REQUD FOR REPURCHASE","",""
"6301","FFB LOANS PROV REQUIR PURCHASE","",""
"6310","PROGRAM FUNDS AVAILABLE","",""
"6311","UNALLOTTED PROGRAM FUNDS","",""
"6312","BALANCE OF FUNDS ALLOTTED","",""
"6313","PROGRAM FUNDS APPROVED","",""
"6314","OVERFLOW ACCT # 1 FROM ACCT 6310","",""
"6315","OverFlow #1 from Account 6313","",""
"6320","SUB -FUNDS AVAILABLE","",""
"6321","SUB -FUNDS UNAPPLIED","",""
"6322","SUB -FUNDS APPLIED ACCRUALS","",""
"6410","CREDIT REPORT OBLIGATION (CONTRA)","",""
"6411","CREDIT REPORT OBLIGATION","",""
"6500","CONTRA DISASTER NET APPRV AMT","",""
"6501","DISASTER NET APPRV 1%","",""
"6502","DISASTER NET APPRV 3%","",""
"6503","DISASTER NET APPRV 6 5/8%","",""
"6504","DISASTER NET APPR AMT - 5%","",""
"6505","DISASTER NET APPR AMT 7 3/8%","",""
"6506","DISASTER NET APPRV 8 1/4%","",""
"6507","DISASTER NET APP AMT 9-1/4%","",""
"6510","CONTRA DISASTER DISB AMT","",""
"6511","DISASTER DISB AMT 1%","",""
"6512","DISASTER DISB AMT 3%","",""
"6513","DISASTER DISB AMT 6 5/8%","",""
"6514","DISASTER DISB AMT 5(","",""
"6515","DISASTER DISB AMT 7-3/8(","",""
"6516","DISASTER DISB AMT  8 1/4%","",""
"6517","DISASTER DISB AMT 9-1/4%","",""
"6520","CONTRA DISASTER LOAN REC BAL","",""
"6521","DISASTER LOAN REC BAL 1%","",""
"6522","DISASTER LOAN REC BAL 3%","",""
"6523","DISASTER LOAN REC BAL 6 5/8%","",""
"6524","DISASTER LN RECV BAL 5%","",""
"6525","DISASTER LN RECV BAL 7 3/8%","",""
"6526","DISASTER LOAN REC BAL 8 1/4%","",""
"6527","DISASTER LOAN REC'D 9-1/4%","",""
"6530","CONTRA ACCD INT REC BAL","",""
"6531","DISASTER ACCD INT REC BAL 1%","",""
"6532","DISASTER ACCD INT REC BAL 3%","",""
"6533","DISASTER ACCD INT REC BAL 6 5/8%","",""
"6534","DISASTER ACCD INT RECV BAL 5%","",""
"6535","DISASTER ACCD INT REC BAL 7 3/8%","",""
"6536","DISASTER ACCD INT REC BAL 8 1/4%","",""
"6537","DIS ACCR'D INT REC'D 9-1/4%","",""
"6540","PRN GRAND TOT-HURRICANE HUGO","",""
"6541","PRN VIRG IS SHR-HURRICANE HUGO","",""
"6542","PRN  BORR'S SHR-HURRICANE HUGO","",""
"6550","INT GRAND TOT-HURRICANE HUGO","",""
"6551","INT VIRG IS SHR-HURRICANE HUGO","",""
"6552","INT  BORR'S SHR-HURRICANE HUGO","",""
"6600","CONTRA, FFB-503-SECTION GTY LOANS","",""
"6601","ACCRUED INTEREST RECV., FFB-503 GTY LOAN","",""
"6602","PRINCIPLE, FFB-503-SECTION GTY LOANS","",""
"6610","CONTRA ACCOUNT- 504 DEBENTURES","",""
"6611","ACCRUED INTEREST- SECTION 504","",""
"6612","PRINCIPAL GROSS- 504 DEBENTURES","",""
"6700","DIV ACCR MESBIC PREF STOCK -CONTRA","",""
"6701","DIV ACCR ON MESBIC PREFERRED STOCK","",""
"6920","SA2005 FY1992  CONTRA","",""
"6921","SA2005 FY1992  MEMORANDUM","",""
"6925","DISB SUBSIDY PORTION 2005 FY-92 CONTRA","",""
"6926","DISB SUBSIDY PORTION 2005 FY-92","",""
"6930","SA2005 FY1993  CONTRA","",""
"6931","SA2005 FY1993 QTR 1 MEMORANDUM","",""
"6932","SA2005 FY1993 QTR 2 MEMORANDUM","",""
"6933","SA2005 FY1993 QTR 3 MEMORANDUM","",""
"6934","SA2005 FY1993 QTR 4 MEMORANDUM","",""
"6935","DISB SUBSIDY PORTION 2005 FY-93 CONTRA","",""
"6936","DISB SUBSIDY PORTION 2005 FY-93","",""
"6938","SUBSIDY VALUE THIRD QTR DISB FY-93","",""
"6939","SUBSIDY VALUE- SEPT SPECIAL DISB  FY-93","",""
"6940","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6941","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6942","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6943","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6944","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6945","SUBSIDY VALUE- DISBURSEMENTS - FY-94 CON","",""
"6946","SUBSIDY VALUE- DISBURSEMENTS - 1ST QTR F","",""
"6947","SUBSIDY VALUE- DISBURSEMENTS - 2ND QTR F","",""
"6948","SUBSIDY VALUE- DISBURSEMENTS - 3RD QTR F","",""
"6949","SUBSIDY VALUE- DISBURSEMENTS - 4TH QTR F","",""
"6950","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6951","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6952","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6953","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6954","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6955","SUBSIDY VALUE- DISBURSEMENTS - FY-95 CON","",""
"6956","SUBSIDY VALUE- DISBURSEMENTS - 1ST QTR F","",""
"6957","SUBSIDY VALUE- DISBURSEMENTS - 2ND QTR F","",""
"6958","SUBSIDY VALUE- DISBURSEMENTS - 3RD QTR F","",""
"6959","SUBSIDY VALUE- DISBURSEMENTS - 4TH QTR F","",""
"6960","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6961","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6962","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6963","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6964","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6965","SUBSIDY VALUE- DISBURSEMENTS - FY-96 CON","",""
"6966","SUBSIDY VALUE- DISBURSEMENTS - 1ST QTR F","",""
"6967","SUBSIDY VALUE- DISBURSEMENTS - 2ND QTR F","",""
"6968","SUBSIDY VALUE- DISBURSEMENTS - 3RD QTR F","",""
"6969","SUBSIDY VALUE- DISBURSEMENTS - 4TH QTR F","",""
"6970","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6971","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6972","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6973","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6974","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6975","SUBSIDY VALUE- DISBURSEMENTS - FY-97 CON","",""
"6976","SUBSIDY VALUE- DISBURSEMENTS - 1ST QTR F","",""
"6977","SUBSIDY VALUE- DISBURSEMENTS - 2ND QTR F","",""
"6978","SUBSIDY VALUE- DISBURSEMENTS - 3RD QTR F","",""
"6979","SUBSIDY VALUE- DISBURSEMENTS - 4TH QTR F","",""
"6980","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6981","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6982","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6983","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6984","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6985","SUBSIDY VALUE- DISBURSEMENTS - FY-98 CON","",""
"6986","SUBSIDY VALUE- DISBURSEMENTS - 1ST QTR F","",""
"6987","SUBSIDY VALUE- DISBURSEMENTS - 2ND QTR F","",""
"6988","SUBSIDY VALUE- DISBURSEMENTS - 3RD QTR F","",""
"6989","SUBSIDY VALUE- DISBURSEMENTS - 4TH QTR F","",""
"6990","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6991","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6992","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6993","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6994","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  F","",""
"6995","SUBSIDY VALUE- DISBURSEMENTS - FY-99 CON","",""
"6996","SUBSIDY VALUE- DISBURSEMENTS - 1ST QTR F","",""
"6997","SUBSIDY VALUE- DISBURSEMENTS - 2ND QTR F","",""
"6998","SUBSIDY VALUE- DISBURSEMENTS - 3RD QTR F","",""
"6999","SUBSIDY VALUE- DISBURSEMENTS - 4TH QTR F","",""
"7010","FY 2001 APPV CONTRA","",""
"7011","FY 2001 APPV RATE # 1","",""
"7012","FY 2001 APPV RATE # 2","",""
"7020","FY 2002 APPV CONTRA","",""
"7021","FY 2002 APPV RATE # 1","",""
"7022","FY 2002 APPV RATE # 2","",""
"7025","FY 2002 DISB CONTRA","",""
"7026","FY 2002 DISB RATE # 1","",""
"7027","FY 2002 DISB RATE # 2","",""
"8025","FY 2002 DISB CONTRA","",""
"8026","FY 2002 DISB RATE # 1","",""
"6042","OVERFLOW #1 FROM ACCOUNT 6032","mtk01","2002-06-19 17:34:00"
"6316","OVERFLOW #2 FROM ACCOUNT 6310 (#1 = 6314)","mtk01","2002-06-19 17:34:00"
"6317","OVERFLOW #2 FROM ACCOUNT 6313 (#1 = 6315)","mtk01","2002-06-19 17:34:00"
"6318","OVERFLOW #1 FROM ACCOUNT 6311","mtk01","2002-06-19 17:34:00"
"6319","OVERFLOW #1 FROM ACCOUNT 6312","mtk01","2002-06-19 17:34:00"
"6613","OVERFLOW #1 FROM ACCOUNT 6610","mtk01","2002-06-19 17:34:00"
"6614","OVERFLOW #1 FROM ACCOUNT 6612","mtk01","2002-06-19 17:34:00"
"7030","FY 2003 APPV CONTRA","cntrea","2002-08-27 14:53:00"
"7031","FY 2003 APPV RATE #1","cntrea","2002-08-27 14:53:00"
"7032","FY 2003 APPV RATE #2","cntrea","2002-08-27 14:53:00"
"7035","FY 2003 DISB CONTRA","cntrea","2002-08-27 14:53:00"
"7036","FY 2003 DISB RATE # 1","cntrea","2002-08-27 14:53:00"
"7037","FY 2003 DISB RATE # 2","cntrea","2002-08-27 14:53:00"
"8030","FY 2003 APPV CONTRA","cntrea","2002-08-27 14:53:00"
"8031","FY 2003 APPV RATE # 1","cntrea","2002-08-27 14:53:00"
"8035","FY 2003 DISB CONTRA","cntrea","2002-08-27 14:53:00"
"8036","FY 2003 DISB RATE # 1","cntrea","2002-08-27 14:53:00"
"8002","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2000","Liz","2003-02-20 00:00:00"
"8003","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2000","Liz","2003-02-20 00:00:00"
"8004","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2000","Liz","2003-02-20 00:00:00"
"8005","SUBSIDY VALUE- DISBURSEMENTS - FY-2000 CONTRA","Liz","2003-02-20 00:00:00"
"8006","SUBSIDY VALUE- DISBURSEMENTS - 1ST QTR FY-2000","Liz","2003-02-20 00:00:00"
"8007","SUBSIDY VALUE- DISBURSEMENTS - 2ND QTR FY-2000","Liz","2003-02-20 00:00:00"
"8008","SUBSIDY VALUE- DISBURSEMENTS - 3RD QTR FY-2000","Liz","2003-02-20 00:00:00"
"8009","SUBSIDY VALUE- DISBURSEMENTS - 4TH QTR FY-2000","Liz","2003-02-20 00:00:00"
"8010","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2001 CONTRA","Liz","2003-02-20 00:00:00"
"8011","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2001","Liz","2003-02-20 00:00:00"
"8012","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2001","Liz","2003-02-20 00:00:00"
"8013","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2001","Liz","2003-02-20 00:00:00"
"8014","SUBSIDY VALUE- APPROVAL/MODIFICATIONS  FY-2001","Liz","2003-02-20 00:00:00"
"8015","SUBSIDY VALUE- DISBURSEMENTS - FY-2001 CONTRA","Liz","2003-02-20 00:00:00"
"9040","FY 2004 APPV CONTRA","Liz","2003-09-10 00:00:00"
"9041","FY 2004 APPV RATE # 1","Liz","2003-09-10 00:00:00"
"9042","FY 2004 APPV RATE # 2","Liz","2003-09-10 00:00:00"
"9045","FY 2004 DISB CONTRA","Liz","2003-09-10 00:00:00"
"9046","FY 2004 DISB RATE # 1","Liz","2003-09-10 00:00:00"
"9047","FY 2004 DISB RATE # 2","Liz","2003-09-10 00:00:00"
"9540","FY 2004 APPV CONTRA","Liz","2003-09-10 00:00:00"
"9541","FY 2004 APPV RATE # 1","Liz","2003-09-10 00:00:00"
"9545","FY 2004 DISB CONTRA","Liz","2003-09-10 00:00:00"
"9546","FY 2004 DISB RATE # 1","Liz","2003-09-10 00:00:00"
"9043","FY=2004 APPV RATE #3      SUBSIDY AMT","Liz","2004-04-09 00:00:00"
"9044","FY=2004 APPV RATE #4      SUBSIDY AMT","Liz","2004-04-09 00:00:00"
"9048","FY=2004 DISB RATE #3      SUBSIDY AMT","Liz","2004-04-09 00:00:00"
"9049","FY=2004 DISB RATE #4      SUBSIDY AMT","Liz","2004-04-09 00:00:00"
"6006","OVERFLOW #2 FROM ACCOUNT 6000 (#1 = 6004)","LIZ","2004-12-17 00:00:00"
"6007","OVERFLOW #2 FROM ACCOUNT 6002 (#1 = 6005)","LIZ","2004-12-17 00:00:00"
"6008","OVERFLOW #3 FROM ACCOUNT 6000 (#1 = 6004 #2 = 6006)","LIZ","2004-12-17 00:00:00"
"6009","OVERFLOW #3 FROM ACCOUNT 6002 (#1 = 6005 #2 = 6007)","LIZ","2004-12-17 00:00:00"
"9050","FY=2005 APPV CONTRA SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9051","FY=2005 APPV RATE #1 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9052","FY=2005 APPV RATE #2 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9053","FY=2005 APPV RATE #3 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9054","FY=2005 APPV RATE #4 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9055","FY=2005 DISB CONTRA SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9056","FY=2005 DISB RATE #1 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9057","FY=2005 DISB RATE #2 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9058","FY=2005 DISB RATE #3 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9059","FY=2005 DISB RATE #4 SUBSIDY AMT 03","LIZ","2004-12-17 00:00:00"
"9550","FY=2005 APPV CONTRA ZEROSUB AMT 03","LIZ","2004-12-17 00:00:00"
"9551","FY=2005 APPV RATE #1 ZEROSUB AMT 03","LIZ","2004-12-17 00:00:00"
"9555","FY=2005 DISB CONTRA ZEROSUB AMT 03","LIZ","2004-12-17 00:00:00"
"9556","FY=2005 DISB RATE #1 ZEROSUB AMT 03","LIZ","2004-12-17 00:00:00"
"9060","FY=2006 APPV CONTRA","cntrea","2005-09-03 17:12:00"
"9061","FY=2006 APPV RATE # 1","cntrea","2005-09-04 09:35:00"
"9062","FY=2006 APPV RATE # 2","cntrea","2005-09-04 09:35:00"
"9063","FY=2006 APPV RATE # 3","cntrea","2005-09-04 09:35:00"
"9064","FY=2006 APPV RATE # 4","cntrea","2005-09-04 09:35:00"
"9065","FY=2006 DISB CONTRA","cntrea","2005-09-04 09:39:00"
"9066","FY=2006 DISB RATE # 1","cntrea","2005-09-04 09:39:00"
"9067","FY=2006 DISB RATE # 2","cntrea","2005-09-04 09:39:00"
"9068","FY=2006 DISB RATE # 3","cntrea","2005-09-04 09:39:00"
"9069","FY=2006 DISB RATE # 4","cntrea","2005-09-04 09:39:00"
"1514","PRINCIPAL REPAIRS - PURCHASED LOANS","cntrea","2005-09-04 09:49:00"
"5061","INTEREST EXPENSE - PURCHASED LOANS","cntrea","2005-09-04 09:49:00"
"9070","FY=2007 APPV CONTRA SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9071","FY=2007 APPV RATE #1 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9072","FY=2007 APPV RATE #2 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9073","FY=2007 APPV RATE #3 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9074","FY=2007 APPV RATE #4 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9075","FY=2007 DISB CONTRA SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9076","FY=2007 DISB RATE #1 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9077","FY=2007 DISB RATE #2 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9078","FY=2007 DISB RATE #3 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9079","FY=2007 DISB RATE #4 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"9570","FY=2007 APPV CONTRA ZEROSUB AMT","mtk01","2006-11-07 17:16:00"
"9571","FY=2007 APPV RATE #1 ZEROSUB AMT","mtk01","2006-11-07 17:16:00"
"9575","FY=2007 DISB CONTRA ZEROSUB AMT","mtk01","2006-11-07 17:16:00"
"9576","FY=2007 DISB RATE #1 ZEROSUB AMT","mtk01","2006-11-07 17:16:00"
"8070","FY=2007 DECR CONTRA SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"8071","FY=2007 DECR RATE #1 SUBSIDY AMT","mtk01","2006-11-07 17:16:00"
"8570","FY=2007 DECR CONTRA ZEROSUB AMT","mtk01","2006-11-07 17:16:00"
"8571","FY=2007 DECR RATE #1 ZEROSUB AMT","mtk01","2006-11-07 17:16:00"
"1215","Receivables Due From Lender ¿ Guarantee Purchases","",""
"9080","2008 Approval Contra","mtk01","2007-09-23 08:42:00"
